OTU ID,ZLMCA,ZLMHP,ZLMPM,ZLMSS,ZLMVL,ZPFCA,ZPFMV,ZPFPM,ZPFRR,ZPFSS,ZPFVL,ZSLCA,ZSLHP,ZSLPB,ZSLPM,ZSLRA,ZSLSS,ZSLVL
OTU10297,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
OTU103,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
OTU1030,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
OTU10301,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
OTU10303,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
OTU10304,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU10306,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10316,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0
OTU10318,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OTU10320,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1
OTU10325,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10327,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
OTU10329,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1033,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
OTU10330,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0
OTU10332,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1034,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0
OTU10343,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
OTU10345,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10346,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
OTU10349,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
OTU1035,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OTU10353,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10355,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OTU10358,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0
OTU1036,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
OTU10362,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU10365,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU10367,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU10368,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
OTU10373,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
OTU10374,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU10375,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
OTU10379,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
OTU1038,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
OTU10382,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
OTU10384,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU1039,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0
OTU104,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU1040,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10400,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU10404,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU10406,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU1041,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU10412,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU10413,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU10421,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
OTU10422,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0
OTU10424,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
OTU10426,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
OTU1043,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1
OTU1044,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU10441,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU1045,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
OTU10452,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU10457,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0
OTU1046,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10461,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
OTU10462,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU10466,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
OTU10467,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU10472,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU1048,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10483,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
OTU10484,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU10487,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
OTU1049,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0
OTU10493,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OTU1050,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
OTU10500,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
OTU1051,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0
OTU10513,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
OTU10515,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OTU10518,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0
OTU1052,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0
OTU10529,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OTU10534,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OTU10535,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
OTU10536,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0
OTU10537,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0
OTU1054,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
OTU10542,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
OTU10546,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OTU10547,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
OTU1055,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0
OTU10551,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OTU10558,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OTU10562,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
OTU10565,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OTU10568,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OTU10569,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OTU1057,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10570,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
OTU1058,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0
OTU10584,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
OTU10587,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OTU1059,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0
OTU10591,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
OTU10593,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OTU10598,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
OTU106,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
OTU1060,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU10602,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
OTU1061,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OTU10619,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0
OTU10623,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OTU10626,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
OTU10627,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
OTU10628,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
OTU10629,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
OTU10630,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
OTU10635,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
OTU10640,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
OTU10645,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU10648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OTU1065,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OTU1066,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
OTU10665,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
OTU1068,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10681,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
OTU1069,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0
OTU10691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
OTU10693,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0
OTU10695,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
OTU10697,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10701,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0
OTU10703,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
OTU10709,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
OTU1071,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,1
OTU10715,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OTU1072,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1
OTU10720,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0
OTU10724,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OTU1073,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0
OTU10734,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
OTU10735,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0
OTU10736,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10737,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
OTU10738,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10739,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0
OTU1074,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OTU10744,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
OTU10745,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
OTU10746,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU10749,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU1075,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU10751,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
OTU10756,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
OTU10758,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0
OTU1076,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
OTU1077,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
OTU10772,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
OTU10776,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
OTU10777,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
OTU10785,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
OTU10789,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
OTU1079,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0
OTU10795,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0
OTU108,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OTU10800,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
OTU10801,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
OTU10803,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
OTU10805,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0
OTU10806,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
OTU10807,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
OTU10809,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OTU1081,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
OTU10811,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
OTU10813,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
OTU10816,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU10817,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
OTU10819,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
OTU10820,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
OTU10821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
OTU10822,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0
OTU10825,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0
OTU10826,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
OTU10827,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
OTU10828,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU10835,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0
OTU10836,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
OTU10837,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
OTU10838,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
OTU1084,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU10840,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0
OTU10843,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
OTU10847,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1
OTU1085,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0
OTU10850,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU10852,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0
OTU1086,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
OTU10861,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10867,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
OTU10868,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OTU10869,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU10872,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
OTU10877,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
OTU1088,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0
OTU10881,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
